Date,Open,High,Low,Close,Adj Close,Volume
2020-08-07,11186.650391,11231.900391,11142.049805,11214.049805,11214.049805,452600
2020-08-10,11270.250000,11337.299805,11238.000000,11270.150391,11270.150391,492000
2020-08-11,11322.250000,11373.599609,11299.150391,11322.500000,11322.500000,586100
2020-08-12,11289.000000,11322.000000,11242.650391,11308.400391,11308.400391,609900
2020-08-13,11334.849609,11359.299805,11269.950195,11300.450195,11300.450195,562400
2020-08-14,11353.299805,11366.250000,11111.450195,11178.400391,11178.400391,645100
2020-08-17,11248.900391,11267.099609,11144.500000,11247.099609,11247.099609,634000
2020-08-18,11259.799805,11401.700195,11253.150391,11385.349609,11385.349609,579200
2020-08-19,11452.150391,11460.349609,11394.099609,11408.400391,11408.400391,626200
2020-08-20,11317.450195,11361.450195,11289.799805,11312.200195,11312.200195,791600
2020-08-21,11409.650391,11418.500000,11362.200195,11371.599609,11371.599609,668700
2020-08-24,11412.000000,11497.250000,11410.650391,11466.450195,11466.450195,532900
2020-08-25,11513.099609,11525.900391,11423.349609,11472.250000,11472.250000,638200
2020-08-26,11512.849609,11561.750000,11461.849609,11549.599609,11549.599609,743400
2020-08-27,11609.299805,11617.349609,11540.599609,11559.250000,11559.250000,719800
2020-08-28,11602.950195,11686.049805,11589.400391,11647.599609,11647.599609,807000
2020-08-31,11777.549805,11794.250000,11325.849609,11387.500000,11387.500000,1371800
2020-09-01,11464.299805,11553.549805,11366.900391,11470.250000,11470.250000,783800
2020-09-02,11478.549805,11554.750000,11430.400391,11535.000000,11535.000000,593500
2020-09-03,11566.200195,11584.950195,11507.650391,11527.450195,11527.450195,607100
2020-09-04,11354.400391,11452.049805,11303.650391,11333.849609,11333.849609,681300
2020-09-07,11359.599609,11381.150391,11251.700195,11355.049805,11355.049805,560300
2020-09-08,11378.549805,11437.250000,11290.450195,11317.349609,11317.349609,572200
2020-09-09,11218.599609,11298.150391,11185.150391,11278.000000,11278.000000,728900
2020-09-10,11363.299805,11464.049805,11327.400391,11449.250000,11449.250000,679400
2020-09-11,11447.799805,11493.500000,11419.900391,11464.450195,11464.450195,554800
2020-09-14,11540.150391,11568.900391,11383.549805,11440.049805,11440.049805,642300
2020-09-15,11487.200195,11535.950195,11442.250000,11521.799805,11521.799805,506700
2020-09-16,11538.450195,11618.099609,11516.750000,11604.549805,11604.549805,527800
2020-09-17,11539.400391,11587.200195,11498.500000,11516.099609,11516.099609,0
2020-09-18,11584.099609,11584.099609,11446.099609,11504.950195,11504.950195,764200
2020-09-21,11503.799805,11535.250000,11218.500000,11250.549805,11250.549805,602900
2020-09-22,11301.750000,11302.200195,11084.650391,11153.650391,11153.650391,672200
2020-09-23,11258.750000,11259.549805,11024.400391,11131.849609,11131.849609,714900
2020-09-24,11011.000000,11015.299805,10790.200195,10805.549805,10805.549805,706100
2020-09-25,10910.400391,11072.599609,10854.849609,11050.250000,11050.250000,559600
2020-09-28,11140.849609,11239.349609,11099.849609,11227.549805,11227.549805,472800
2020-09-29,11288.599609,11305.400391,11181.000000,11222.400391,11222.400391,498300
2020-09-30,11244.450195,11295.400391,11184.549805,11247.549805,11247.549805,499300
2020-10-01,11364.450195,11428.599609,11347.049805,11416.950195,11416.950195,447700
2020-10-05,11487.799805,11578.049805,11452.299805,11503.349609,11503.349609,530600
2020-10-06,11603.450195,11680.299805,11564.299805,11662.400391,11662.400391,561400
2020-10-07,11679.250000,11763.049805,11629.349609,11738.849609,11738.849609,513400
2020-10-08,11835.400391,11905.700195,11791.150391,11834.599609,11834.599609,608800
2020-10-09,11852.049805,11938.599609,11805.200195,11914.200195,11914.200195,611100
2020-10-12,11973.549805,12022.049805,11867.200195,11930.950195,11930.950195,522600
2020-10-13,11934.650391,11988.200195,11888.900391,11934.500000,11934.500000,458300
2020-10-14,11917.400391,11997.200195,11822.150391,11971.049805,11971.049805,569200
2020-10-15,12023.450195,12025.450195,11661.299805,11680.349609,11680.349609,608900
2020-10-16,11727.400391,11789.750000,11667.849609,11762.450195,11762.450195,555800
2020-10-19,11879.200195,11898.250000,11820.400391,11873.049805,11873.049805,541400
2020-10-20,11861.000000,11949.250000,11837.250000,11896.799805,11896.799805,453600
2020-10-21,11958.549805,12018.650391,11775.750000,11937.650391,11937.650391,623700
2020-10-22,11890.000000,11939.549805,11823.450195,11896.450195,11896.450195,544900
2020-10-23,11957.900391,11974.549805,11908.750000,11930.349609,11930.349609,502300
2020-10-26,11937.400391,11942.849609,11711.700195,11767.750000,11767.750000,519800
2020-10-27,11807.099609,11899.049805,11723.000000,11889.400391,11889.400391,616300
2020-10-28,11922.599609,11929.400391,11684.849609,11729.599609,11729.599609,704000
2020-10-29,11633.299805,11744.150391,11606.450195,11670.799805,11670.799805,555000
2020-10-30,11678.450195,11748.950195,11535.450195,11642.400391,11642.400391,553700
2020-11-02,11697.349609,11725.650391,11557.400391,11669.150391,11669.150391,568400
2020-11-03,11734.450195,11836.200195,11723.299805,11813.500000,11813.500000,674300
2020-11-04,11783.349609,11929.650391,11756.400391,11908.500000,11908.500000,667300
2020-11-05,12062.400391,12131.099609,12027.599609,12120.299805,12120.299805,632500
2020-11-06,12156.650391,12280.400391,12131.849609,12263.549805,12263.549805,576800
2020-11-09,12399.400391,12474.049805,12367.349609,12461.049805,12461.049805,553400
2020-11-10,12556.400391,12643.900391,12475.250000,12631.099609,12631.099609,847500
2020-11-11,12680.599609,12769.750000,12571.099609,12749.150391,12749.150391,880500
2020-11-12,12702.150391,12741.150391,12624.849609,12690.799805,12690.799805,622000
2020-11-13,12659.700195,12735.950195,12607.700195,12719.950195,12719.950195,513900
