Date,Open,High,Low,Close,Adj Close,Volume
2019-10-15,22063.71094,22219.63086,22049.71094,22207.21094,22207.21094,74500
2019-10-16,22479.57031,22615.4707,22434.34961,22472.91992,22472.91992,78700
2019-10-17,22451.15039,22522.39063,22424.91992,22451.85938,22451.85938,57800
2019-10-18,22528.56055,22649.84961,22466.25977,22492.67969,22492.67969,59200
2019-10-21,22541.2207,22581.2793,22515.73047,22548.90039,22548.90039,48400
2019-10-23,22619.76953,22648.81055,22457.89063,22625.38086,22625.38086,68000
2019-10-24,22725.43945,22780.99023,22704.33008,22750.59961,22750.59961,61300
2019-10-25,22753.24023,22819.91992,22715.13086,22799.81055,22799.81055,57200
2019-10-28,22854.43945,22896.2207,22830.57031,22867.26953,22867.26953,48100
2019-10-29,22950.78906,23008.42969,22935.34961,22974.13086,22974.13086,72900
2019-10-30,22953.16992,22961.23047,22827.92969,22843.11914,22843.11914,101600
2019-10-31,22910.09961,22988.80078,22875.5,22927.03906,22927.03906,78300
2019-11-01,22730.49023,22852.7207,22705.59961,22850.76953,22850.76953,65400
2019-11-05,23118.78906,23328.51953,23090.93945,23251.99023,23251.99023,102100
2019-11-06,23343.50977,23352.56055,23246.57031,23303.82031,23303.82031,77400
2019-11-07,23283.14063,23336,23253.32031,23330.32031,23330.32031,70900
2019-11-08,23550.03906,23591.08984,23313.41016,23391.86914,23391.86914,94600
2019-11-11,23422.13086,23471.82031,23323.01953,23331.83984,23331.83984,61500
2019-11-12,23336.36914,23545.69922,23312.25,23520.00977,23520.00977,63000
2019-11-13,23439.25,23452.63086,23270.92969,23319.86914,23319.86914,63400
2019-11-14,23325.5,23360.06055,23062.16016,23141.55078,23141.55078,79900
2019-11-15,23160.5293,23340.76953,23121.58984,23303.32031,23303.32031,72200
2019-11-18,23304.25,23420.61914,23271.28906,23416.75977,23416.75977,57300
2019-11-19,23366.35938,23389.5293,23244.92969,23292.65039,23292.65039,64200
2019-11-20,23176.49023,23303.16992,23086.11914,23148.57031,23148.57031,65700
2019-11-21,23071.49023,23108.08008,22726.71094,23038.58008,23038.58008,69800
2019-11-22,23030.33008,23219.50977,23030.33008,23112.88086,23112.88086,55600
2019-11-25,23292.84961,23347.17969,23255.39063,23292.81055,23292.81055,50300
2019-11-26,23451.40039,23608.06055,23350.09961,23373.32031,23373.32031,94300
2019-11-27,23452.84961,23507.82031,23418.23047,23437.76953,23437.76953,52200
2019-11-28,23458.88086,23482.32031,23367.33008,23409.14063,23409.14063,44800
2019-11-29,23497.43945,23498.76953,23273.36914,23293.91016,23293.91016,52100
2019-12-02,23388.63086,23562.05078,23378.40039,23529.5,23529.5,47700
2019-12-03,23231.14063,23388.17969,23186.83984,23379.81055,23379.81055,58800
2019-12-04,23186.74023,23203.76953,23044.7793,23135.23047,23135.23047,58100
2019-12-05,23292.69922,23363.43945,23259.82031,23300.08984,23300.08984,61400
2019-12-06,23347.66992,23412.48047,23338.40039,23354.40039,23354.40039,54400
2019-12-09,23544.31055,23544.31055,23360.00977,23430.69922,23430.69922,55800
2019-12-10,23372.39063,23449.4707,23336.92969,23410.18945,23410.18945,52800
2019-12-11,23421.14063,23438.42969,23333.63086,23391.85938,23391.85938,61300
2019-12-12,23449.2793,23468.15039,23360.42969,23424.81055,23424.81055,56300
2019-12-13,23810.56055,24050.03906,23775.73047,24023.09961,24023.09961,115500
2019-12-16,23955.19922,24036.30078,23950.05078,23952.34961,23952.34961,53300
2019-12-17,24091.11914,24091.11914,23996.50977,24066.11914,24066.11914,64000
2019-12-18,24023.26953,24046.08984,23919.35938,23934.42969,23934.42969,66300
2019-12-19,23911.46094,23945.5293,23835.28906,23864.84961,23864.84961,55600
2019-12-20,23893.44922,23908.76953,23746.63086,23816.63086,23816.63086,70300
2019-12-23,23921.28906,23923.08984,23810.82031,23821.10938,23821.10938,45200
2019-12-24,23839.17969,23853.56055,23796.34961,23830.58008,23830.58008,37900
2019-12-25,23813.58984,23824.84961,23782.86914,23782.86914,23782.86914,31600
2019-12-26,23787.69922,23931.50977,23775.40039,23924.91992,23924.91992,40300
2019-12-27,23953.75,23967.17969,23837.7207,23837.7207,23837.7207,44800
2019-12-30,23770.92969,23782.49023,23656.61914,23656.61914,23656.61914,41600
2020-01-06,23319.75977,23365.35938,23148.5293,23204.85938,23204.85938,72800
2020-01-07,23320.11914,23577.43945,23299.91992,23575.7207,23575.7207,64300
2020-01-08,23217.49023,23303.21094,22951.17969,23204.75977,23204.75977,79400
2020-01-09,23530.28906,23767.08984,23506.15039,23739.86914,23739.86914,62200
2020-01-10,23813.2793,23903.28906,23761.08008,23850.57031,23850.57031,55900
2020-01-14,23969.03906,24059.85938,23951.66016,24025.16992,24025.16992,64200
2020-01-15,23923.48047,23997.39063,23875.82031,23916.58008,23916.58008,57200
2020-01-16,23960.19922,23975.38086,23905.38086,23933.13086,23933.13086,55400
2020-01-17,24103.44922,24115.94922,24013.75,24041.25977,24041.25977,59400
2020-01-20,24080.67969,24108.10938,24061.66992,24083.50977,24083.50977,38300
2020-01-21,24072.81055,24081.75,23843.48047,23864.56055,23864.56055,44600
2020-01-22,23835.49023,24040.86914,23831.09961,24031.34961,24031.34961,49000
2020-01-23,23843.50977,23910.00977,23779.23047,23795.43945,23795.43945,55500
2020-01-24,23850.11914,23869.38086,23755.32031,23827.17969,23827.17969,48700
2020-01-27,23427.90039,23463.89063,23317.32031,23343.50977,23343.50977,62400
2020-01-28,23126.92969,23243.35938,23115.15039,23215.71094,23215.71094,64400
2020-01-29,23309.32031,23392.60938,23214.2793,23379.40039,23379.40039,54900
2020-01-30,23284.58008,23318.57031,22892.94922,22977.75,22977.75,69600
2020-01-31,23148.91992,23421.58984,23139.98047,23205.17969,23205.17969,75400
2020-02-03,22874.26953,23023.73047,22775.91992,22971.93945,22971.93945,72500
2020-02-04,22881.13086,23118.13086,22854.44922,23084.58984,23084.58984,67900
2020-02-05,23351.4707,23414.68945,23241.64063,23319.56055,23319.56055,70300
2020-02-06,23641.09961,23995.36914,23625.13086,23873.58984,23873.58984,95100
2020-02-07,23899.00977,23943.44922,23759.41992,23827.98047,23827.98047,65400
2020-02-10,23631.78906,23788.25,23621.7207,23685.98047,23685.98047,56500
2020-02-12,23741.21094,23869.73047,23693.7207,23861.21094,23861.21094,74600
2020-02-13,23849.75977,23908.84961,23784.31055,23827.73047,23827.73047,64500
2020-02-14,23714.51953,23738.41992,23603.48047,23687.58984,23687.58984,69100
2020-02-17,23489.7793,23561.98047,23335.99023,23523.24023,23523.24023,54000
2020-02-18,23398.57031,23402.00977,23133.59961,23193.80078,23193.80078,59500
2020-02-19,23329.33008,23468.56055,23234.96094,23400.69922,23400.69922,61600
2020-02-20,23666.58008,23806.56055,23426.41992,23479.15039,23479.15039,63300
2020-02-21,23427.76953,23588.55078,23378.33008,23386.74023,23386.74023,62100
2020-02-25,22949.36914,22950.23047,22335.21094,22605.41016,22605.41016,105800
2020-02-26,22374.14063,22456.55078,22127.41992,22426.18945,22426.18945,99300
2020-02-27,22255.83008,22272.25977,21844.28906,21948.23047,21948.23047,106200
2020-02-28,21518.00977,21528.13086,20916.40039,21142.96094,21142.96094,148500
2020-03-02,20849.78906,21593.10938,20834.28906,21344.08008,21344.08008,123700
2020-03-03,21651.99023,21719.7793,21082.73047,21082.73047,21082.73047,105300
2020-03-04,20897.19922,21245.92969,20862.05078,21100.06055,21100.06055,94600
2020-03-05,21399.86914,21399.86914,21220.75977,21329.11914,21329.11914,85700
2020-03-06,21009.80078,21061.19922,20613.91016,20749.75,20749.75,111700
2020-03-09,20343.31055,20347.18945,19472.25977,19698.75977,19698.75977,170300
2020-03-10,19474.89063,19970.34961,18891.76953,19867.11914,19867.11914,164700
2020-03-11,19758.25977,19974.83008,19392.25,19416.06055,19416.06055,129200
2020-03-12,19064.50977,19142.17969,18339.26953,18559.63086,18559.63086,164600
2020-03-13,18183.4707,18184.46094,16690.59961,17431.05078,17431.05078,233400
2020-03-16,17586.08008,17785.75977,16914.44922,17002.03906,17002.03906,158100
2020-03-17,16726.94922,17557.03906,16378.94043,17011.5293,17011.5293,198800
2020-03-18,17154.08008,17396.83984,16698.46094,16726.55078,16726.55078,177200
2020-03-19,16995.76953,17160.9707,16358.19043,16552.83008,16552.83008,198900
2020-03-23,16570.57031,17049.0293,16480.94922,16887.7793,16887.7793,170300
2020-03-24,17206.88086,18100.39063,17197.14063,18092.34961,18092.34961,147300
2020-03-25,18446.80078,19564.38086,18446.80078,19546.63086,19546.63086,147700
2020-03-26,19234.76953,19240.28906,18512.81055,18664.59961,18664.59961,128100
2020-03-27,19021.9707,19389.42969,18832.21094,19389.42969,19389.42969,148900
2020-03-30,18884.07031,19084.9707,18578.19922,19084.9707,19084.9707,121000
2020-03-31,19181.90039,19336.18945,18834.16016,18917.00977,18917.00977,122200
2020-04-01,18686.11914,18784.25,17871.61914,18065.41016,18065.41016,105800
2020-04-02,17934.41992,18132.03906,17707.66016,17818.7207,17818.7207,107300
2020-04-03,17951.43945,18059.15039,17646.5,17820.18945,17820.18945,96000
2020-04-06,17857.99023,18672.25977,17802.61914,18576.30078,18576.30078,105700
2020-04-07,18878.85938,19162.51953,18553.14063,18950.17969,18950.17969,108200
2020-04-08,19047.75977,19454.33984,18730.80078,19353.24023,19353.24023,105900
2020-04-09,19376,19406.96094,19158.55078,19345.76953,19345.76953,82300
