Date,Price,Open,High,Low,Vol.,Change %
2020-11-13,3310.1,"3,327.23","3,327.23","3,291.64",22.79B,-0.86%
2020-11-12,3338.68,"3,344.46","3,350.28","3,329.49",21.65B,-0.11%
2020-11-11,3342.2,"3,354.02","3,365.84","3,339.04",27.12B,-0.53%
2020-11-10,3360.15,"3,387.62","3,387.62","3,346.17",27.87B,-0.40%
2020-11-09,3373.73,"3,329.43","3,380.82","3,329.43",31.02B,1.86%
2020-11-06,3312.16,"3,326.46","3,326.46","3,292.15",23.49B,-0.24%
2020-11-05,3320.13,"3,305.58","3,320.41","3,291.60",22.68B,1.30%
2020-11-04,3277.44,"3,273.43","3,286.62","3,254.11",18.85B,0.19%
2020-11-03,3271.07,"3,239.81","3,278.38","3,237.85",21.53B,1.42%
2020-11-02,3225.12,"3,228.72","3,242.80","3,209.91",22.68B,0.02%
2020-10-30,3224.53,"3,278.63","3,279.86","3,219.42",23.02B,-1.47%
2020-10-29,3272.73,"3,235.76","3,289.77","3,231.12",18.47B,0.11%
2020-10-28,3269.24,"3,256.22","3,275.87","3,238.38",17.32B,0.46%
2020-10-27,3254.32,"3,240.74","3,258.34","3,235.54",14.91B,0.10%
2020-10-26,3251.12,"3,258.70","3,264.45","3,226.60",16.77B,-0.82%
2020-10-23,3278,"3,308.16","3,326.05","3,276.62",17.42B,-1.04%
2020-10-22,3312.5,"3,315.82","3,320.88","3,281.37",16.60B,-0.38%
2020-10-21,3325.02,"3,332.15","3,332.15","3,304.17",17.76B,-0.09%
2020-10-20,3328.1,"3,307.15","3,328.10","3,293.77",16.51B,0.47%
2020-10-19,3312.67,"3,351.10","3,371.09","3,307.84",21.23B,-0.71%
2020-10-16,3336.36,"3,334.46","3,348.95","3,319.11",19.43B,0.13%
2020-10-15,3332.18,"3,342.92","3,354.58","3,330.00",19.10B,-0.26%
2020-10-14,3340.78,"3,353.62","3,353.62","3,332.96",19.87B,-0.56%
2020-10-13,3359.75,"3,353.12","3,361.83","3,334.50",20.49B,0.04%
2020-10-12,3358.47,"3,287.33","3,359.15","3,286.11",25.96B,2.64%
2020-10-09,3272.08,"3,262.61","3,280.51","3,260.19",18.83B,1.68%
2020-09-30,3218.05,"3,232.71","3,244.91","3,202.34",15.35B,-0.20%
2020-09-29,3224.36,"3,231.85","3,242.79","3,219.79",15.13B,0.21%
2020-09-28,3217.53,"3,224.98","3,238.18","3,210.89",15.60B,-0.06%
2020-09-25,3219.42,"3,234.37","3,239.47","3,208.03",16.48B,-0.12%
2020-09-24,3223.18,"3,262.88","3,265.35","3,221.24",20.67B,-1.72%
2020-09-23,3279.71,"3,278.84","3,289.76","3,264.89",16.92B,0.17%
2020-09-22,3274.3,"3,290.67","3,320.23","3,265.70",21.40B,-1.29%
2020-09-21,3316.94,"3,348.90","3,350.59","3,313.07",21.65B,-0.63%
2020-09-18,3338.09,"3,270.91","3,338.32","3,268.53",25.63B,2.07%
2020-09-17,3270.44,"3,277.32","3,290.41","3,248.50",20.29B,-0.41%
2020-09-16,3283.92,"3,293.17","3,302.46","3,271.07",20.04B,-0.36%
2020-09-15,3295.68,"3,277.13","3,297.69","3,263.75",19.77B,0.51%
2020-09-14,3278.81,"3,275.92","3,283.53","3,261.15",21.39B,0.57%
2020-09-11,3260.35,"3,225.78","3,262.50","3,220.54",22.17B,0.79%
2020-09-10,3234.82,"3,282.23","3,285.47","3,227.64",31.25B,-0.61%
2020-09-09,3254.63,"3,281.00","3,289.61","3,238.56",35.15B,-1.86%
2020-09-08,3316.42,"3,301.22","3,324.39","3,276.44",27.11B,0.72%
2020-09-07,3292.59,"3,349.92","3,368.24","3,285.63",26.06B,-1.87%
2020-09-04,3355.37,"3,336.41","3,360.11","3,328.55",22.16B,-0.87%
2020-09-03,3384.98,"3,404.03","3,425.63","3,374.26",25.53B,-0.58%
2020-09-02,3404.8,"3,420.47","3,421.40","3,377.21",26.15B,-0.17%
2020-09-01,3410.61,"3,389.74","3,410.61","3,381.71",24.70B,0.44%
2020-08-31,3395.68,"3,416.55","3,442.74","3,395.47",32.35B,-0.24%
2020-08-28,3403.81,"3,346.29","3,405.88","3,339.65",27.13B,1.60%
2020-08-27,3350.11,"3,333.49","3,351.83","3,312.99",23.71B,0.61%
2020-08-26,3329.74,"3,371.81","3,382.60","3,320.14",29.45B,-1.30%
2020-08-25,3373.58,"3,392.88","3,408.87","3,364.16",27.71B,-0.36%
2020-08-24,3385.64,"3,391.11","3,396.57","3,368.03",26.62B,0.15%
2020-08-21,3380.68,"3,380.23","3,393.92","3,358.00",28.75B,0.50%
2020-08-20,3363.9,"3,385.96","3,394.56","3,352.78",33.56B,-1.30%
2020-08-19,3408.13,"3,444.56","3,454.46","3,406.16",40.57B,-1.24%
2020-08-18,3451.09,"3,441.93","3,456.72","3,432.64",38.07B,0.36%
2020-08-17,3438.8,"3,373.90","3,450.90","3,369.37",43.46B,2.34%
2020-08-14,3360.1,"3,315.67","3,362.03","3,302.74",30.60B,1.19%
2020-08-13,3320.73,"3,328.18","3,338.15","3,309.46",32.43B,0.04%
2020-08-12,3319.27,"3,327.49","3,335.73","3,263.27",37.83B,-0.63%
2020-08-11,3340.29,"3,379.49","3,409.06","3,336.09",40.05B,-1.15%
2020-08-10,3379.25,"3,341.53","3,399.93","3,335.04",38.14B,0.75%
2020-08-07,3354.04,"3,370.59","3,374.13","3,307.71",40.39B,-0.96%
2020-08-06,3386.46,"3,380.76","3,392.70","3,334.33",41.53B,0.26%
2020-08-05,3377.56,"3,363.33","3,383.64","3,333.88",38.58B,0.17%
2020-08-04,3371.69,"3,376.44","3,391.07","3,352.50",44.23B,0.11%
2020-08-03,3367.97,"3,332.18","3,368.10","3,327.68",40.75B,1.75%
2020-07-31,3310.01,"3,280.80","3,333.79","3,261.61",35.38B,0.71%
2020-07-30,3286.82,"3,299.57","3,312.45","3,282.16",34.07B,-0.23%
2020-07-29,3294.55,"3,221.99","3,294.55","3,209.99",32.49B,2.06%
2020-07-28,3227.96,"3,226.13","3,245.30","3,208.49",28.94B,0.71%
2020-07-27,3205.23,"3,210.39","3,221.98","3,174.66",29.93B,0.26%
2020-07-24,3196.77,"3,310.65","3,319.13","3,184.96",42.71B,-3.86%
2020-07-23,3325.11,"3,306.15","3,336.30","3,257.83",40.70B,-0.24%
2020-07-22,3333.16,"3,315.18","3,381.98","3,311.79",39.33B,0.37%
2020-07-21,3320.89,"3,330.55","3,336.68","3,300.57",35.93B,0.20%
2020-07-20,3314.15,"3,243.91","3,314.15","3,220.68",41.86B,3.11%
2020-07-17,3214.13,"3,214.40","3,252.78","3,181.27",35.97B,0.13%
2020-07-16,3210.1,"3,356.36","3,373.53","3,209.73",49.06B,-4.50%
2020-07-15,3361.3,"3,422.08","3,432.45","3,345.75",49.20B,-1.56%
2020-07-14,3414.62,"3,435.02","3,451.22","3,366.08",54.32B,-0.83%
2020-07-13,3443.29,"3,379.39","3,458.79","3,369.04",55.80B,1.77%
2020-07-10,3383.32,"3,418.93","3,433.11","3,372.51",55.61B,-1.95%
2020-07-09,3450.59,"3,403.48","3,456.97","3,393.64",62.00B,1.39%
2020-07-08,3403.44,"3,337.55","3,421.53","3,327.71",58.71B,1.74%
2020-07-07,3345.34,"3,380.95","3,407.08","3,336.24",65.78B,0.37%
2020-07-06,3332.88,"3,187.84","3,337.27","3,187.84",64.39B,5.71%
2020-07-03,3152.81,"3,104.00","3,152.81","3,104.00",45.88B,2.01%
2020-07-02,3090.57,"3,023.72","3,092.44","3,021.67",39.11B,2.13%
2020-07-01,3025.98,"2,991.18","3,026.19","2,984.98",27.33B,1.38%
2020-06-30,2984.67,"2,965.11","2,990.83","2,965.11",21.50B,0.78%
2020-06-29,2961.52,"2,973.08","2,977.91","2,951.77",22.06B,-0.61%
2020-06-24,2979.55,"2,972.98","2,982.94","2,971.22",21.32B,0.30%
2020-06-23,2970.62,"2,960.89","2,972.40","2,949.85",22.52B,0.18%
2020-06-22,2965.27,"2,966.90","2,983.44","2,959.03",26.79B,-0.08%
2020-06-19,2967.63,"2,938.79","2,973.32","2,935.82",26.43B,0.96%
2020-06-18,2939.32,"2,929.88","2,942.90","2,920.11",25.87B,0.12%
2020-06-17,2935.87,"2,932.67","2,936.62","2,919.04",23.47B,0.14%
2020-06-16,2931.75,"2,912.83","2,931.78","2,909.13",22.33B,1.44%
2020-06-15,2890.03,"2,908.28","2,922.54","2,890.03",24.32B,-1.02%
2020-06-12,2919.74,"2,876.80","2,930.25","2,872.62",23.60B,-0.04%
2020-06-11,2920.9,"2,939.79","2,952.65","2,912.19",23.37B,-0.78%
2020-06-10,2943.75,"2,951.28","2,951.33","2,934.84",20.79B,-0.42%
2020-06-09,2956.11,"2,939.54","2,957.12","2,932.94",20.90B,0.62%
2020-06-08,2937.77,"2,941.98","2,950.07","2,934.21",23.11B,0.24%
2020-06-05,2930.8,"2,923.19","2,930.80","2,909.12",21.74B,0.40%
2020-06-04,2919.25,"2,931.84","2,932.97","2,910.75",22.66B,-0.14%
2020-06-03,2923.37,"2,930.39","2,942.76","2,922.66",25.57B,0.07%
2020-06-02,2921.4,"2,916.32","2,926.36","2,909.13",25.61B,0.20%
2020-06-01,2915.43,"2,871.96","2,917.15","2,871.96",26.02B,2.21%
2020-05-29,2852.35,"2,835.58","2,855.38","2,829.63",20.68B,0.22%
2020-05-28,2846.22,"2,838.21","2,861.92","2,820.15",20.75B,0.33%
2020-05-27,2836.8,"2,847.32","2,849.00","2,831.93",19.81B,-0.34%
2020-05-26,2846.55,"2,827.90","2,848.34","2,825.90",17.46B,1.01%
2020-05-25,2817.97,"2,816.24","2,821.50","2,802.47",17.29B,0.15%
2020-05-22,2813.77,"2,863.05","2,863.05","2,808.02",20.91B,-1.89%
2020-05-21,2867.92,"2,890.72","2,891.52","2,864.21",20.35B,-0.55%
2020-05-20,2883.74,"2,896.47","2,896.47","2,876.18",21.05B,-0.51%
